Country,Code,Social Progress Index,Basic Human Needs,Foundations of Wellbeing,Opportunity,Nutrition and Basic Medical Care,Water and Sanitation,Shelter,Personal Safety,Access to Basic Knowledge,Access to Information and communications,Health and Wellness,Environmental Quality,Personal Rights,Personal Freedom and Choice,Inclusiveness,Access to Advanced Education,Undernourishment (% of pop.),"Maternal mortality rate (deaths/100,000 live births)","Child mortality rate (deaths/1,000 live births)",Child stunting (% of children),"Deaths from infectious diseases (deaths/100,000)",Access to at least basic drinking water (% of pop.),Access to piped water (% of pop.),Access to at least basic sanitation facilities (% of pop.),Rural open defecation (% of pop.),Access to electricity (% of pop.),Quality of electricity supply (1=low; 7=high),"Household air pollution attributable deaths (deaths/100,000)","Homicide rate (deaths/100,000)",Political killings and torture (0=low freedom; 1=high freedom),Perceived criminality (1=low; 5=high),"Traffic deaths (deaths/100,000)",Adult literacy rate (% of pop. aged 15+),Primary school enrollment (% of children),Secondary school enrollment (% of children),Gender parity in secondary enrollment (girls/boys),Access to quality education (0=unequal; 4=equal),Mobile telephone subscriptions (subscriptions/100 people),Internet users (% of pop.),Participation in online governance (0=low; 1=high),Access to independent media (% of pop.),Life expectancy at 60 (years),"Premature deaths from non-communicable diseases (deaths/100,000)",Access to essential services  (0=none; 100=full coverage),Access to quality healthcare (0=unequal; 4=equal),"Outdoor air pollution attributable deaths (deaths/100,000)",Wastewater treatment (0=no treatment; 100=fully treated),Greenhouse gas emissions (CO2 equivalents per GDP),Biome protection (% of biomes),Political rights (0=no rights; 40=full rights),Freedom of expression (0=no freedom; 1=full freedom),Freedom of religion (0=no freedom; 4=full freedom),Access to justice (0=non-existent; 1=observed),Property rights for women (0=no right; 5=full rights),Vulnerable employment (% of employees),Early marriage (% of women),Satisfied demand for contraception (% of women),Corruption (0=high; 100=low),Acceptance of gays and lesbians (0=low; 100=high),Discrimination and violence against minorities (0=low; 10=high),Equality of political power by gender (0=unequal power; 4=equal power),Equality of political power by socioeconomic position (0=unequal power; 4=equal power),Equality of political power by social group (0=unequal power; 4=equal power),Years of tertiary schooling,Women's average years in school,Globally ranked universities (points),Percent of tertiary students enrolled in globally ranked universities
Afghanistan,AFG,31.21,37.89,27.06,28.7,53.54,45.52,26.13,26.36,38.53,34.41,11.11,24.18,39.89,37.54,32.08,5.27,23.4,548.77,76.1,57.588,266.28,60.3793,11.737,38.0679,19.4155,89.5,NA,303.316,6.55,0.454451,5,59.6933,31.7411,NA,53.9303,0.56373,1.03134,56.1913,7,0.13725,55.2,13.4046,1263.16,26.649,1.50189,201.358,0,611.079,0.104392,10,0.600794,1.93538,0.205822,2.1019,70.3,0.17,42.3,11,0.021395,8.6,1.03497,1.66218,2.81908,0.28,0.98,0,0
Angola,AGO,36.77,42.18,38.05,30.08,63.26,31.55,36.13,37.78,43.89,29.07,35.47,43.79,54.38,29.36,27.53,9.04,15.3,262.493,91.2,34.064,491.796,40.8303,28.4298,38.1597,56.9515,32,1.7145,122.308,10.49,0.439456,5,28.1568,66.0301,80.9996,26.6794,0.62886,0.566774,52.2003,10.2,0.23529,27.8875,16.3791,511.106,38.449,0.754436,80.9415,0,999.932,5.80383,10,0.461186,2.77998,0.478579,3.73041,51.6,36,25.2,15,12.626999855041504,7.7,1.89549,0.864396,0.874399,NA,5.31,0,0
Albania,ALB,70.85,83.47,79.25,49.84,90.54,92.93,82.84,67.57,90.24,77.93,65.9,82.93,84.39,48.12,48.42,18.44,5.5,12.174,14.4,24.402,18.0408,91.3679,85.8234,97.6767,0.46913,100,4.72439,40.2846,4.3,0.97308,4,9.09459,97.247,99.2562,95.7541,0.92692,2.48639,115.026,60.1,0.52941,93.8333,21.6707,360.432,63.737,2.63152,45.8914,80.73,278.362,16.0583,27,0.774892,3.84872,0.90232,4.355,56.7,7,26.6,36,11.723600387573242,4.7,2.19525,1.57069,2.94746,0.07,12.26,0,0
United Arab Emirates,ARE,74.58,88.43,80.08,55.23,94.55,98.17,97.75,63.25,91.44,92.29,62.54,74.06,54.73,77.99,47,41.18,4.6,8.526,7.9,11.77,42.9767,99.6319,NA,99.9771,0,100,6.60228,1.03786,0.63,0.816607,2,54.0653,NA,99.5224,NA,NA,3.119,185.418,90.4,0.84313,NA,20.3311,416.013,64.541,2.61968,82.3617,96.87,402.673,12.2269,7,0.415513,3.43709,0.578945,3.12522,0.9,7,59.6,70,NA,3.6,1.42074,2.57444,1.38885,0.43,13.18,6,30
Argentina,ARG,74.48,81.86,77.55,64.02,94.05,98.56,75.88,58.96,92.28,79.33,63.36,75.21,84.44,66.03,65.01,40.62,3.6,58.946,12.1,7.322,67.1743,99.632,99.5703,94.8372,0,99.9592,2.56035,3.92565,7.51,0.84114,4,16.429,98.0259,99.8411,107.075,1.05939,2.56006,142.466,64.7,0.54901,93.3333,21.5044,378.725,59.255,2.60945,35.1953,72.13,412.649,7.34165,31,0.897093,3.82664,0.605366,4.7456,20.1,13,81.2,32,65.18119812011719,4.7,2.4381,2.74582,2.86345,0.3,13,19,20
Armenia,ARM,69.66,86.74,73.88,48.35,91.37,96.82,84.65,74.11,89.07,70.22,58.23,77.99,70.86,54,37.72,30.84,4.6,21.118,14.7,21.257,20.1141,98.461,97.2506,91.5014,0,99.989,4.76874,27.6595,1.97,0.818791,3,8.53755,99.7444,92.8093,86.0376,1.05151,3.07496,119.025,54.6228,0.52941,70,20.2314,564.585,60.365,2.85602,68.4242,84.51,397.336,16.9991,16,0.632967,3.11692,0.675168,4.80159,41.9,8,40,35,2.2653000354766846,5.6,1.20808,1.20689,3.15748,0.88,13.1,0,0
Australia,AUS,87.66,94.53,88.7,79.76,98.4,97.96,96.27,85.48,92.26,92.98,84.53,85.04,96.61,87.09,69.17,66.16,2.5,6.089,4,3.117,13.035,99.9598,90.9684,100,NA,100,6.30313,0.216089,1.05,0.935666,2,6.79635,NA,99.9224,158.147,0.86923,3.2127,106.753,84,0.94117,93,25.2421,206.507,80.044,3.22744,8.17685,99.44,670.506,14.2218,40,0.948509,3.88381,0.953285,4.81428,10.8,1,83,79,76.3427963256836,4.1,2.52294,2.50427,3.30415,1.05,14.54,59,50
Austria,AUT,86.5,96.02,89.28,74.2,99.08,99.99,97.67,87.35,95.25,86.04,83.53,92.29,94.62,87.37,65.71,49.09,2.5,3.449,3.7,1.202,6.6028,100,NA,99.9755,0,100,6.5798,0.759103,0.71,0.952302,2,5.64788,NA,NA,100.128,0.96485,3.34897,150.032,80.9958,0.62745,97.2222,24.0447,246.805,78.732,3.81906,21.5272,99.08,208.98,17,37,0.963743,3.50516,0.98591,4.87761,8.5,0,83.5,76,67.58820343017578,4,2.32365,2.71359,2.85122,0.56,13.29,14,40
Burundi,BDI,37.63,41.46,43.62,27.82,48.06,55.79,22.5,39.47,64.15,21.56,35.92,52.84,33.96,38.52,32.21,6.58,NA,395.039,77.9,56.451,666.582,55.8256,32.359,50.4751,3.42293,7,2.08396,186.761,3.97,0.072678,4,32.1181,61.5697,97.0815,45.106,0.90781,0.803855,32.2819,1.38,0.05882,42.4,15.091,548.284,41.805,1.28161,95.072,0,400.575,7.90814,5,0.252977,3.06081,0.253132,1.31355,94.2,10,42.8,21,3.4667000770568848,8.1,1.23778,2.24217,1.61075,0.04,4.23,0,0
Belgium,BEL,86.73,92.77,88.32,79.1,98.62,99.88,95.56,77.01,93.15,87.26,82.01,90.88,96.11,88.3,75.56,56.44,2.5,8.788,4.1,1.191,26.5762,100,100,99.4861,0,100,6.17368,0.348133,1.84,0.94948,3,8.51746,NA,99.0215,163.931,1.13689,3.61813,113.509,85,0.62745,98.25,23.8584,267.352,77.651,3.74898,24.8778,98.08,245.51,17,40,0.978787,3.59396,0.980775,4.78484,10.9,1,90,77,82.04070281982422,4.4,2.90437,3.12162,3.3135,1.17,14.51,14,30
Benin,BEN,48.01,44.44,52.21,47.38,57.46,32.8,30.86,56.66,60.57,45.3,46.06,56.91,91.53,33.55,58.47,5.96,10.8,378.251,102.8,49.163,455.817,66.572,41.7166,13.6466,77.0506,34.1,1.72308,169.662,6.35,0.858591,4,24.2266,32.9488,96.3604,58.8474,0.71407,2.94193,84.1905,6,0.17647,65.9,17.0467,466.349,43.541,2.25753,94.3764,10.7,639.494,17,33,0.894348,3.89123,0.933821,4.65881,89.6,22,24.4,37,10.635199546813965,3.6,2.5115,2.49324,3.15224,0.15,2.73,0,0
Burkina Faso,BFA,43.07,45.25,42.71,41.24,57.81,28.95,26.4,67.86,45.51,36.85,40.43,48.04,81.13,33.5,47.7,2.65,19.9,348.991,92.8,36.24,581.847,53.3413,25.3506,21.6657,66.7178,19.2,1.69483,168.388,0.71,0.707409,3,24.4511,34.5994,70.0531,33.7188,0.92169,0.84012,71.0475,9.4,0.13725,47.75,16.4069,475.786,44.553,1.15714,105.217,0,882.485,15.6099,21,0.893521,3.79475,0.793877,4.20249,91.6,32,43.5,38,10.536800384521484,4.7,1.47315,2.44583,2.7804,NA,1.86,0,0
Bangladesh,BGD,50.58,61.28,52.46,38.01,71.74,66.4,48.61,58.38,67.7,50.02,46.45,45.68,62.17,38.71,38.84,12.31,16.4,247.768,38.6,46.849,120.504,97.1686,13.7164,45.5466,1.6423,62.4,2.69222,136.968,2.8,0.320168,3,18.1158,62.4862,96.0339,63.4152,1.12887,1.2012,79.5871,13.9,0.39215,62.2,19.853,484.75,49.236,0.806418,118.051,0,384.655,3.29012,21,0.517731,2.53646,0.450738,4.55354,57,46,74.5,25,23.98509979248047,8.9,2.15163,1.04523,2.81035,0.16,5.09,1,0
Bulgaria,BGR,74.24,87.69,72.68,62.34,95.01,96.23,83.69,75.84,90.85,65.1,58.78,75.98,86.89,67.89,57.75,36.83,4.4,22.422,8.8,10.006,18.564,99.2531,99.1238,85.9713,0,100,4.34192,17.2469,1.5,0.877969,3,9.51142,98.3524,94.9984,102.344,0.96784,2.39847,131.359,55.49,0.2549,74.1667,19.768,555.923,59.914,3.163,76.6907,93.93,515.23,16.9779,33,0.869425,3.38039,0.826037,4.78369,8.5,9,61.4,41,26.417400360107422,5.3,2.64267,2.46838,2.95688,0.85,13.62,1,10
Belarus,BLR,71.02,87.43,71.74,53.89,97.82,95.39,90.71,65.82,97.38,62.39,57.48,69.71,54.25,72.26,49.35,39.69,2.5,7.117,4.2,4.947,17.3949,97.9946,88.7107,94.2998,0,100,NA,3.19529,3.51,0.660953,3,14.6903,99.6171,98.8902,104.827,0.98568,3.54498,120.212,59.02,0.35294,52.5,19.2421,711.285,64.312,3.54017,86.3731,97.54,546.494,10.384,4,0.35238,2.56177,0.622312,4.34888,2,4,73.4,32,12.354299545288086,7.1,1.97135,2.99896,2.6504,NA,14.86,2,10
Bolivia,BOL,63.49,70.89,66.52,53.06,77.57,68.18,77.77,60.03,80.3,62.49,53.74,69.56,74.42,56.3,56.12,25.39,21.9,180.492,39.6,22.414,121.784,92.0433,73.7919,51.6527,41.9027,90.0387,4.41742,43.8127,12.4,0.890576,3,24.33,93.1236,90.1511,86.405,0.9838,0.945183,98.9413,34.6,0.41176,70,20.3959,349.268,48.434,1.6138,57.8927,63.66,785.568,16.5269,29,0.784224,3.88397,0.445667,3.85867,32.8,15,55.4,34,38.70709991455078,6.2,2.12452,3.37326,2.15091,0.82,9.86,0,0
Brazil,BRA,73.91,78.71,78.06,64.94,93.86,91.04,81.65,48.3,86.12,79.89,60.34,85.89,87.78,72.29,64.11,35.59,2.5,68.027,16.4,6.752,65.0038,97.2331,95.5322,85.342,12.5434,99.6502,3.78016,8.86564,26.52,0.820876,4,24.6123,91.7294,96.6388,99.651,1.0511,1.55042,137.469,54.551,0.70588,90.5714,21.5287,372.397,59.794,1.80801,29.0838,81.08,328.002,16.9797,33,0.931478,3.8989,0.683299,4.73115,27,4,88.5,38,63.18769836425781,5.7,2.73261,2.54761,2.96408,0.38,9.6,28,10
Barbados,BRB,75.45,89.47,73.97,62.92,94.15,97.68,96.2,69.86,93.77,66.52,70.43,65.15,94.41,81.17,58.12,17.96,4.6,40.958,13,7.294,58.4808,98.1312,98.3977,96.4561,NA,100,6.28662,0.072599,8.5,0.933685,NA,10.9334,NA,92.9448,108.545,1.03303,3.57397,107.788,75.16,0.09803,76,22.3009,335.972,62.454,3.41831,21.6609,64.44,821.103,1.03415,40,0.894234,3.79888,0.924844,4.78508,15.7,NA,74.5,74,NA,4.1,2.81361,2.28734,2.731,0.15,11.15,0,0
Bhutan,BTN,64.29,82.23,62.45,48.18,76.1,90.16,84.73,77.91,76.77,46.56,62.81,63.67,75.8,63.35,48.98,4.6,NA,201.753,35.1,34.839,106.88,97.5593,99.6183,62.3299,0,96.9126,5.75566,61.5253,2.52,0.834626,2,12.3736,57.0336,84.6195,82.915,1.0647,3.56895,80.435,30.3,0.35294,37.7,20.7081,385.584,51.896,3.50376,83.2227,0,261.459,17,29,0.774841,2.58863,0.787868,4.20444,71.7,14,81.2,65,16.377899169921875,7.6,2.20629,2.4564,2.9568,NA,3.23,0,0
Botswana,BWA,61.95,65.74,64.79,55.3,69.71,70.33,55.11,67.82,79.84,57.73,49.01,72.6,81.75,78.6,46.38,14.49,24.6,99.455,44.6,30.512,532.112,79.0795,89.7333,59.8643,36.495,56.3696,2.71957,71.928,10.53,0.888947,2,22.457,NA,90.3646,78.4158,1.09114,2.53395,157.27,36.7447,0.31372,58,17.3526,587.802,53.88,2.57021,61.1802,49.56,455.13,17,28,0.77897400000000006,3.78378,0.899743,3.76338,14.5,5,77.5,63,24.91349983215332,5.1,1.53175,2.11868,2.4613,0.15,8.71,0,0
Central African Republic,CAF,26.01,25.03,23.53,29.46,20.9,36.94,11.89,30.4,27.7,19.68,22.05,24.69,38.4,27.29,45.24,6.91,48.6,865.336,133.6,42.184,1259.42,54.051,17.7417,24.9757,35.5604,12.7842,NA,243.056,13.63,0.548198,5,46.5432,36.7526,68.3522,15.8949,0.51347,1.13563,25.5929,3.6,0.03921,41.6667,12.3827,740.627,29.847,1.27563,137.552,0,10923.6,17,1,0.682911,2.81897,0.098527,1.71105,73.6,42,37.4,24,10.833399772644043,9.3,2.53155,2.58729,2.40382,0.06,4.27,0,0
Canada,CAN,87.65,93.11,88.36,81.49,98.36,92.32,97.48,84.27,95.97,86.22,82.49,88.77,95.86,88.5,72.32,69.26,2.5,8.719,5.2,2.151,18.5557,99,68.95,98.5,NA,100,6.52894,0.091989,1.44,0.956488,2,8.247,NA,99.5981,110.887,1.00839,3.02065,80.8572,87.12,0.82352,94,24.8157,233.807,78.305,3.23119,11.7731,96.35,494.75,17,40,0.953445,3.80092,0.941824,4.77338,10.6,3,87.8,83,84.81400299072266,3.6,2.88778,2.93336,2.45022,1.64,15.65,46,NA
Switzerland,CHE,89.04,96.53,89.83,80.76,98.86,99.97,99.03,88.27,97.68,82.3,88.22,91.1,96.37,90.36,76.77,59.55,2.5,6.376,4.2,1.179,13.3675,100,100,99.8916,0,100,6.83549,0.75,0.7,0.967379,2,4.34827,NA,99.8316,101.178,0.96536,3.73232,135.486,87.4,0.37254,100,25.3404,196.146,83.057,3.72333,14.4085,99.67,112.851,10.8224,39,0.978484,3.76098,0.979823,4.75277,8.6,1,86.4,86,72.90190124511719,3.8,3.03149,3.04681,3.57263,1.1,14.42,20,40
Chile,CHL,80.47,90.06,83.04,68.32,96.81,99.55,91.65,72.21,86.84,87.61,71.78,85.94,92.65,80.5,57.27,42.89,3.8,22.419,8.5,3.063,32.5754,100,99.7879,99.7584,1.23849,99.9953,5.53383,4.38586,3.16,0.915807,3,12.9294,96.2671,94.3986,99.8874,1.01063,1.27825,134.444,61.11,0.94117,93,23.8694,256.02,67.812,2.17293,25.3143,98.55,270.378,10.435,38,0.967601,3.80599,0.861763,4.53176,22.7,6,86.3,70,63.838401794433594,3.8,2.18341,2.11398,2.00924,0.54,13.29,13,20
China,CHN,62.67,78.96,66.72,42.35,91.59,85.93,81.89,56.42,87.02,60.38,57.3,62.18,33.22,73.33,28.67,34.16,10.5,30.816,11.5,13.449,23.7806,94.9464,76.0997,74.079,2.71552,99.9985,5.34435,74.0867,0.78,0.410833,4,22.3895,95.1245,NA,95.03,1.01818,1.59852,92.5173,47.9,0.64705,36.3333,20.3383,442.755,64.841,1.51097,97.2271,80.2,747.311,11.4952,1,0.209794,1.24147,0.395672,3.12001,32.9,2,95,37,13.679100036621094,8.1,1.66461,1.5049,0.785229,0.18,9.82,73,0
Côte d'Ivoire,CIV,45.99,50.84,47.55,39.58,54.72,48.86,48.89,50.9,45.02,47.99,33.54,63.66,70.01,36.35,44.09,7.87,15.2,530.963,98.3,35.311,596.242,72.9666,49.6413,29.4251,47.5688,61.9,3.86654,183.259,12.8,0.828858,4,27.8357,43.9084,77.7037,43.2886,0.71474,0.856438,98.1059,19.2742,0.17647,50.8462,15.5969,597.251,40.758,0.888299,97.4019,44.63,537.705,17,20,0.695216,3.79839,0.664061,3.28722,76.5,25,35.2,32,3.03629994392395,8.3,2.06968,2.26779,3.07178,0.17,3.87,0,0
Cameroon,CMR,44.5,52.77,45.28,35.44,58.93,55.03,43.06,54.05,72.49,39.81,38.58,30.25,66.57,35.93,27.4,11.88,8.3,499.553,87.5,34.56,607.433,64.6504,39.4334,38.869,13.907,56.8,2.4457,157.305,2.86,0.55411,4,24.4172,71.2905,95.6621,60.6943,0.85728,2.29263,76.6148,16.2149,0.15686,45.7143,16.4891,512.517,42.156,1.11185,128.891,0,1424.92,9.58623,9,0.673898,3.64145,0.56205,4.22848,73.7,26,38.4,27,6.710400104522705,8.5,1.64358,1.33273,1.15473,0.12,7.17,0,0
"Congo, Democratic Republic of",COD,34.97,36.94,41.5,26.45,46.64,38.75,23.57,38.81,54.21,24.94,37.49,49.38,40.63,29.9,25.81,9.47,NA,551.915,101,44.038,652.365,41.3393,30.6706,19.8774,18.0909,13.5,NA,174.294,13.97,0.15895,4,23.6095,76.0299,NA,46.1942,0.63951,1.33801,50.3276,3,0.0196,39.45,15.6447,473.278,39.593,1.209,91.3808,0,807.465,11.9678,9,0.515214,3.23354,0.165906,1.44269,73.8,25,18.3,22,8.363300323486328,9.7,1.39585,1.42942,1.45757,0.04,6.26,0,0
"Congo, Republic of",COG,44.98,50.37,52.15,32.43,60.15,52.67,47.41,41.27,66.7,40.8,35.63,65.47,52.6,37.68,25.98,13.44,27.3,494.762,56.5,24.49,545.085,67.5443,56.6378,14.9484,19.9791,51.8624,NA,134.546,10.65,0.232926,4,24.5997,79.3112,87.2205,52.1189,0.86601,1.4959,101.211,7.11,0.09803,39.75,15.9932,552.216,43.171,0.749088,97.3104,31.97,310.739,17,6,0.329089,3.75948,0.268829,4.0576,72.3,20,37.2,23,5.873300075531006,6.9,1.04846,1.15342,1.29838,0.06,8.85,0,0
Colombia,COL,70.58,78.37,77.03,56.34,90.92,87.99,85.99,48.58,83.63,73.72,67.11,83.68,76.53,60.95,46.68,41.21,8.8,64.551,16.3,12.658,31.0774,96.231,87.6128,83.9165,14.5941,97.7909,4.96087,19.8757,32.57,0.695461,4,15.8127,94.1862,94.9851,98.0919,1.07128,1.1796,115.773,52.57,0.88235,54,23.0409,248.25,61.003,1.98291,31.7394,77.21,274.179,14.083,29,0.795604,3.65921,0.583693,3.9366,46.7,17,86.1,37,57.90380096435547,7,1.90286,2.02538,1.70232,0.9,10.81,12,10
Comoros,COM,52.24,64.06,51.41,41.25,67.62,69.93,57.89,60.79,64.97,30.1,43.47,67.09,69.26,38.93,46.04,10.78,NA,202.612,78.3,34.772,347.534,83.6878,62.6795,34.1472,0.61791,72.9177,NA,118.759,8.42,0.772393,NA,20.0211,49.1961,86.6188,61.0906,1.06834,1.84064,50.4356,6.98,0.03921,53.3333,17.5613,445.005,42.889,1.38202,50.2372,26.32,370.337,9.48652,24,0.830248,2.12012,0.655611,4.08539,59,NA,33.3,26,8.00469970703125,5,1.61918,2.49817,2.36217,NA,6.03,0,0
Cabo Verde,CPV,66.42,73.67,66.86,58.73,87.21,70.85,68.69,67.94,80.92,53.89,61.65,71,91.16,68.45,64.25,11.04,14.6,31.485,23,13.371,138.385,85.832,88.449700000000007,64.8179,46.8779,87.8767,3.17139,58.1813,10.65,0.9424,NA,12.3331,86.3028,87.0425,85.2883,1.1038,2.84738,116.515,40.26,0.09803,59.5,20.0551,392.444,57.775,3.00117,66.1971,82.2,214.271,2.25354,37,0.922406,3.91923,0.858415,4.38214,39.8,NA,78.9,55,NA,4.1,2.25791,2.84759,3.63296,NA,6.14,0,0
Costa Rica,CRI,80.97,88.22,86.26,68.42,95.27,98.72,91.82,67.06,94,83.15,81.07,86.81,95.05,75.45,65.63,37.55,5.6,26.863,9.4,6.798,19.0851,99.5634,98.7683,96.9962,0.49008,99.3593,5.6004,4.30782,8.73,0.972306,3,16.3147,97.4066,96.813,123.086,1.04026,3.20901,147.563,53,0.82352,93.75,25.0252,205.491,66.847,3.68901,17.3416,64.78,206.605,16.0466,37,0.974631,3.69125,0.956928,4.83877,14.9,13,89,55,50.294898986816406,4.4,3.06137,2.11553,3.30006,0.77,10.92,3,20
Cuba,CUB,68.52,87.04,70.87,47.66,95.87,90.92,90.69,70.7,94.57,35.84,73.11,79.96,27.48,69.23,61.77,32.15,2.5,50.667,5.7,6.755,41.5335,95.0438,78.8706,90.7186,1.14945,100,NA,3.29328,4.72,0.840039,3,8.88099,99.7525,95.4616,100.39,1.0365,3.37602,22.1224,29.0702,0.35294,55.5,22.4529,351.862,65.346,3.81197,32.6753,72.52,NA,10.3271,1,0.10032,2.31766,0.171677,2.09371,10.2,23,87.8,47,NA,4.2,2.37924,2.93869,2.55074,0.76,13.19,1,0
Cyprus,CYP,81.85,91.72,84.98,68.86,98.19,99.87,91.6,77.21,98.08,74.74,80.09,87,92.62,79.49,54.06,49.27,4.7,10.22,2.9,1.253,14.4238,100,100,99.4252,0,100,5.43458,0.591247,1.05,0.952156,3,12.296,98.6784,98.6002,99.7783,0.99277,3.73004,130.192,69.33,0.31372,92.8,23.1211,253.125,74.93,3.7639,25.0885,79.34,290.311,17,38,0.93448,3.3302,0.955597,4.80181,12.7,2,NA,61,32.014198303222656,6.5,2.36178,2.7508,2.48787,1.32,14.64,2,20
Czech Republic,CZE,83.72,95.09,83.06,73,98.48,99.73,96.52,85.65,98.18,75.85,74.24,83.96,94.17,80.27,65.14,52.4,2.5,7.152,3.1,2.7,20.2894,99.8797,99.8797,99.1365,0,100,6.39604,2.15202,0.93,0.972272,2,8.82751,NA,NA,105.047,1.00958,3.77434,131.274,74.2317,0.2549,97.7778,21.7127,373.594,73.052,3.80147,44.2332,95.77,418.511,17,38,0.966405,3.60452,0.935817,4.77876,13.8,0,81.7,56,45.925498962402344,5,2.27193,3.12257,3.46679,0.54,14.47,11,50
Germany,DEU,88.69,95.62,89.58,80.88,98.81,99.82,96.64,87.22,95.8,89.72,81.37,91.42,96.56,89.11,77.2,60.66,2.5,10.113,3.9,1.003,16.9129,100,100,99.2185,0,100,6.3873,0.830966,0.85,0.957564,2,5.17205,NA,99.8105,101.061,0.95345,3.33915,122.138,86.19,0.70588,99.5,23.5843,269.393,77.15,3.76634,22.5571,99.65,254.377,17,39,0.971567,3.71887,0.988331,4.83275,6.1,0,82.9,81,75.72769927978516,4.8,3.41494,3.02373,3.45158,0.76,14.24,91,40
Djibouti,DJI,45.22,60.61,38.94,36.1,65.27,54.02,65.37,57.79,42.93,19.52,44.02,49.31,51.71,51.03,35.69,5.99,17.2,352.31,68.2,32.48,395.275,76.8996,79.7357,51.3379,77.0363,52.2694,NA,46.8231,7.6,0.526278,3,18.4498,NA,55.5927,43.2944,0.80198,1.51906,31.469,10.71,0.07843,25.8,17.8558,449.002,42.934,1.41184,78.0293,0,528.075,1.33436,9,0.306086,2.49296,0.69354,3.32982,37.8,NA,41.7,34,5.293600082397461,6.7,1.79342,1.31808,2.08921,NA,4.05,0,0
Denmark,DNK,89.25,96.17,89.48,82.1,98.73,99.91,98.33,87.7,97.45,88.13,79.91,92.45,97.89,92.23,81.77,56.52,2.5,4.093,4.2,1.124,26.581,100,100,99.5972,0,100,6.69314,0.307264,0.85,0.968302,2,4.58607,NA,99.9456,130.259,1.04747,3.7892,126.418,95.99,0.54901,98.75,23.3842,278.818,76.649,3.60255,20.4056,98.45,205.846,17,40,0.985186,3.8647,0.987369,4.81205,5.1,0,83.5,91,77.39600372314453,4.6,3.3186,3.52844,3.82082,0.95,15.13,12,40
Dominican Republic,DOM,64.92,74.98,70.11,49.66,87.11,87,74.44,51.37,73.71,61.85,60.33,84.55,82.74,55.75,39.31,20.82,13.6,65.926,32.2,10.544,91.0815,94.2337,79.6124,82.5374,7.85986,98.471,2.59094,13.1055,22.33,0.842101,4,20.7726,91.7638,88.7478,77.8208,1.10236,0.723946,79.7969,49.58,0.33333,80,22.3624,287.934,59.564,1.02001,37.5527,90.17,284.671,14.0774,29,0.82529,3.79717,0.669168,4.63314,41.2,27,83.9,33,28.11009979248047,6,1.17351,1.7945,2.07479,0.36,11.12,0,0
Algeria,DZA,65.64,79.94,71.89,45.1,90.39,88.46,83.8,57.11,88.33,54.95,66.77,77.53,57.05,67,38.97,17.39,4.7,79.824,25.6,13.873,37.5817,93.2608,76.8555,87.3252,3.11266,99.2343,4.02131,1.02901,1.26,0.615739,4,27.0889,75.136,99.2749,99.655,1.03799,2.79232,110.699,29.5,0.07843,74.5,22.1731,308.745,60.252,2.65902,44.1414,91.6,368.78,7.37916,11,0.617527,1.88185,0.58012300000000006,4.12124,38.3,2,75.8,36,20.578399658203125,7.9,1.7294,2.11016,1.85587,0.46,7.74,0,0
Ecuador,ECU,68.86,78.33,74.51,53.74,86.07,87.45,86.03,53.75,92,64.05,69.55,72.45,81.19,57.48,50.51,25.78,11.7,69.62,22.2,23.48,53.6551,91.9902,84.7667,85.1598,9.58632,98.9761,4.57759,6.20591,11.01,0.929419,4,27.7558,94.2226,99.0287,107.7,1.03902,2.60583,104.418,45.5904,0.49019,58.37,23.6784,243.078,57.669,2.57155,21.8566,0,353.2,15.4978,24,0.837162,3.63314,0.732003,4.6212,41,22,82.3,32,41.95349884033203,7.5,2.11486,2.35591,2.59186,0.38,11.24,2,0
Egypt,EGY,58.28,77.68,60.36,36.79,87.71,97.09,80.92,45.01,77.06,56.01,42.33,66.02,27.25,65.32,16.18,38.4,4.4,55.592,24.7,26.307,52.4946,98.3487,96.9785,93.118,0,99.8,3.45083,1.10201,3.23,0.089547,3,36.2701,75.0607,98.4162,84.5669,0.99465,0.286665,103.816,33.8946,0.54901,33.6,18.4172,623.826,56.131,0.573648,122.951,86.32,334.306,12.2977,9,0.094293,2.10175,0.230611,1.34508,25.4,14,80.5,36,NA,9,0.616442,0.530158,1.24091,0.41,9.06,7,40
Eritrea,ERI,31.61,39.47,31.88,23.47,56.36,12.44,48.45,40.64,40.64,6.44,38.65,41.78,11.92,42.43,33.9,5.63,NA,600.677,47.6,35.037,503.382,19.0207,47.0779,11.1566,88.65,44.3467,NA,116.685,8.3,0.106412,4,23.1242,64.663,43.1336,33.142,0.85035,1.29436,8.79469,0.99,0,14.5,15.539,559.152,37.058,2.22974,91.8565,0,961.367,4.8627,1,0.030155,1.13626,0.052173,0.861619,7,31,25.8,18,NA,6.6,1.08244,2.7755,0.727899,NA,3.95,0,0
Spain,ESP,86.72,93.99,90.06,76.11,98.99,99.94,95.72,81.31,97.31,84.97,84.46,93.51,94.39,81.42,70,58.63,2.5,5.616,3.4,1.096,13.7776,99.9436,99.9436,99.9044,0,100,6.21424,0.763783,0.65,0.93432,3,5.03259,98.0937,99.1357,129.48,0.99755,3.43652,109.209,76.19,0.78431,83.75,25.248,225.418,79.819,3.33325,13.7411,99.71,228.027,17,39,0.939366,3.60673,0.948438,4.79549,12.4,1,84.7,58,87.37960052490234,5.9,2.50917,2.63439,3.66546,0.96,13.5,36,40
