Country,Code,Social Progress Index,Basic Human Needs,Foundations of Wellbeing,Opportunity,Nutrition and Basic Medical Care,Water and Sanitation,Shelter,Personal Safety,Access to Basic Knowledge,Access to Information and communications,Health and Wellness,Environmental Quality,Personal Rights,Personal Freedom and Choice,Inclusiveness,Access to Advanced Education,Undernourishment (% of pop.),"Maternal mortality rate (deaths/100,000 live births)","Child mortality rate (deaths/1,000 live births)",Child stunting (% of children),"Deaths from infectious diseases (deaths/100,000)",Access to at least basic drinking water (% of pop.),Access to piped water (% of pop.),Access to at least basic sanitation facilities (% of pop.),Rural open defecation (% of pop.),Access to electricity (% of pop.),Quality of electricity supply (1=low; 7=high),"Household air pollution attributable deaths (deaths/100,000)","Homicide rate (deaths/100,000)",Political killings and torture (0=low freedom; 1=high freedom),Perceived criminality (1=low; 5=high),"Traffic deaths (deaths/100,000)",Adult literacy rate (% of pop. aged 15+),Primary school enrollment (% of children),Secondary school enrollment (% of children),Gender parity in secondary enrollment (girls/boys),Access to quality education (0=unequal; 4=equal),Mobile telephone subscriptions (subscriptions/100 people),Internet users (% of pop.),Participation in online governance (0=low; 1=high),Access to independent media (% of pop.),Life expectancy at 60 (years),"Premature deaths from non-communicable diseases (deaths/100,000)",Access to essential services  (0=none; 100=full coverage),Access to quality healthcare (0=unequal; 4=equal),"Outdoor air pollution attributable deaths (deaths/100,000)",Wastewater treatment (0=no treatment; 100=fully treated),Greenhouse gas emissions (CO2 equivalents per GDP),Biome protection (% of biomes),Political rights (0=no rights; 40=full rights),Freedom of expression (0=no freedom; 1=full freedom),Freedom of religion (0=no freedom; 4=full freedom),Access to justice (0=non-existent; 1=observed),Property rights for women (0=no right; 5=full rights),Vulnerable employment (% of employees),Early marriage (% of women),Satisfied demand for contraception (% of women),Corruption (0=high; 100=low),Acceptance of gays and lesbians (0=low; 100=high),Discrimination and violence against minorities (0=low; 10=high),Equality of political power by gender (0=unequal power; 4=equal power),Equality of political power by socioeconomic position (0=unequal power; 4=equal power),Equality of political power by social group (0=unequal power; 4=equal power),Years of tertiary schooling,Women's average years in school,Globally ranked universities (points),Percent of tertiary students enrolled in globally ranked universities
Paraguay,PRY,63.69,78.78,63.31,48.98,88.88,93.64,74.24,58.36,75.81,57.54,51.31,68.59,77.67,61.33,37.82,19.11,12.3,109.867,21.2,8.754,54.0376,97.4069,87.005,89.9939,0.49678,99.0007,3.34745,48.051,9.34,0.822696,3,28.265,94.6167,90.6581,76.5744,1.06562,0.603384,111.487,43,0.2549,57,20.4068,396.251,53.732,0.82403,39.9411,46.8,792.454,14.4752,27,0.777018,3.85431,0.571913,4.27313,39.3,13,84.6,27,37.35279846191406,6,1.66226,1.44297,1.16834,0.33,10.21,0,0
Qatar,QAT,70.24,88.46,78.77,43.5,95.23,98.46,96.8,63.36,85.95,72.57,81.18,75.39,43.7,74.09,22.56,33.64,NA,27.269,8.6,7.978,13.99,100,93.2,99.9352,NA,100,6.39846,0.015565,6.92,0.785184,2,32.4822,97.7467,96.9747,91.1725,1.26394,3.72416,139.227,91.49,0.60784,39.8,23.5135,242.947,74.673,3.82559,53.1005,96.13,306.703,4.06668,9,0.182906,1.43041,0.616678,3.63072,0.2,18,63.1,71,NA,4.6,1.12547,0.675576,0.331676,0.5,10.82,1,30
Romania,ROU,74.05,85.03,76,61.11,94.38,87.23,83.67,74.85,89.56,73.02,61.43,80.01,89.04,70.39,47,38,2.5,27.483,9.5,13.44,29.8548,100,62.07,81.7699,0,100,4.51719,24.8556,1.7,0.910408,3,12.228,98.6043,93.5501,90.9264,0.99395,2.41844,114.756,54.08,0.47058,86,19.9682,523.33,63.085,3.23659,60.7444,83.95,323.309,16.1633,34,0.910133,3.5009,0.853843,4.73276,27.8,3,71.2,46,20.967100143432617,7,2.01503,2.03681,2.90991,0.44,13.8,4,20
Russia,RUS,68.94,80.53,71.9,54.38,95.09,94.01,88,45.03,93.85,70.9,52.62,70.24,56,68.26,31.83,61.43,2.5,21.094,8.3,11.002,43.2598,96.2987,91.526,88.4556,0,100,4.80062,2.36499,12.88,0.368443,4,20.1081,99.6843,99.5513,104.397,0.97948,2.56576,153.748,70.52,0.68627,45,19.0265,695,60.24,2.76561,72.2854,96.53,621.225,9.45113,7,0.393257,2.91241,0.411268,4.76865,6,8,71.8,29,12.509300231933594,9,1.42048,1.26467,2.49999,1.93,14.67,28,0
Rwanda,RWA,52.26,56.11,57.71,42.97,61.15,60.41,43.46,59.43,71.89,49.18,52.22,57.54,68.36,59.44,35.46,8.64,35.6,314.428,43.4,41.918,367.881,56.0699,39.9843,61.3388,2.4513,19.8,4.03215,132.916,4.51,0.628082,3,24.9948,68.331,95.6806,37.3513,1.08534,3.0153,68.2836,10.6,0.5098,62.6667,18.0868,391.395,47.969,2.46418,73.1551,0,396.92,8.73339,8,0.507906,3.6779,0.762559,4.5343,79.5,4,65.7,54,7.322500228881836,9.1,2.78036,1.70806,1.05868,0.06,5.48,0,0
Saudi Arabia,SAU,64.15,85.57,71.54,35.35,94.15,99.51,95.47,53.14,85.89,69.72,66.68,63.87,22.05,69.22,13.89,36.23,5.1,12.097,13.8,8.519,62.5188,99.9929,97.8308,100,NA,100,6.2348,3.68189,0.92,0.351348,3,39.8607,94.4263,99.6547,116.647,0.77303,2.75978,171.347,64.7137,0.56862,55.9375,19.7028,328.454,66.701,3.16004,103.051,87.79,371.574,4.38589,3,0.168287,0.2524,0.305015,2.19334,3,4,40.7,52,NA,7.5,0.182576,0.971351,0.570034,0.46,9.61,12,20
Sudan,SDN,37.36,47.42,42.58,22.09,64.72,44.33,47.07,33.57,47.49,44.04,38.74,40.04,24.81,38.25,15.28,10.02,25.8,365.478,69,36.36,153.898,57.5123,42.7376,33.3192,40.8027,44.9,NA,124.397,6.8,0.208262,4,45.7825,53.5174,56.4043,45.8303,0.98715,0.338668,73.657,24.64,0.2745,46.6667,18.6926,532.35,42.795,0.3153,109.06,0,760.457,1.98592,2,0.214456,1.66343,0.185261,1.6155,39.9,24,31,12,6.750899791717529,9.8,1.02785,0.839992,0.51591,0.14,5.67,0,0
Senegal,SEN,54.76,63.24,54.4,46.64,69.92,63.95,49.84,69.26,59.78,53.49,43.74,60.58,86.94,43.22,50.6,5.81,12.1,405.98,52.3,25.368,364.037,74.2995,69.2876,47.6771,26.2868,61,3.11965,141.932,8.48,0.863028,2,20.5347,42.8175,74.5175,50.1994,0.97901,2.26127,98.8562,17.7,0.35294,56.5385,16.9096,523.733,42.059,2.22286,88.0222,42.69,801.832,17,33,0.95043,3.59739,0.79856,4.32485,69.3,25,43.1,44,0.9866999983787537,6.6,2.50425,2.36564,3.14834,0.1,3.11,0,0
Singapore,SGP,84.08,96.33,89.42,66.49,97.42,100,98.63,89.28,97.72,89.46,86.11,84.4,68.23,88.08,53.74,55.88,NA,8.047,2.7,3.217,49.1917,100,100,100,NA,100,6.74276,0.042895,0.31,0.935838,2,3.94269,96.7167,NA,NA,NA,3.61118,148.739,79.0292,0.90196,NA,25.6388,227.773,78.246,3.71859,25.8839,100,129.563,4.51437,19,0.348804,3.31707,0.77925,4.52027,8.4,0,76.5,85,23.96809959411621,2.8,2.1177,2.67543,1.67324,1.73,13.83,4,20
Solomon Islands,SLB,47.2,53.52,43.69,44.4,79.16,45.31,21.93,67.69,69.47,33.83,13.99,57.48,75.74,44.96,41.7,15.18,13.2,216.816,26.8,26.385,183.403,65.4331,48.4352,30.6269,50.2717,42.6044,NA,244.281,3.77,0.892026,NA,23.4638,NA,99.9155,48.2869,0.94859,1.01937,65.455,9,0.07843,47.4286,14.0969,1240.11,36.966,0.83872,38.3145,0,495.811,1.70942,25,0.813493,3.08416,0.710625,4.16021,67,NA,44.8,NA,NA,6.5,1.03549,2.11702,3.25335,NA,7.85,0,0
Sierra Leone,SLE,42.15,42.91,43.89,39.67,38.1,39.69,20.45,73.4,55.25,35.7,34.54,50.05,75.65,30.57,47.52,4.92,24.6,642.578,124.9,43.223,998.65,56.7501,27.1577,14.2281,27.8285,16.0332,1.88007,216.003,1.87,0.754932,2,21.4312,32.4262,95.5192,38.2382,0.86251,1.22353,67.1944,6.0573,0.09803,53.5556,15.1895,558.645,40.244,1.11874,90.2442,0,678.572,9.43977,28,0.838385,3.87268,0.536568,3.61664,88.2,31,36.9,29,12.097299575805664,5.9,2.28362,2.04297,2.51672,0.09,2.58,0,0
El Salvador,SLV,64.94,75.14,71.91,47.76,88.37,90.32,84.83,37.04,77.83,73.15,60.79,75.86,73.84,62.03,39.14,16.03,12.4,41.771,16.1,18.787,54.5489,92.4837,86.659,90.494,5.94512,95.1254,4.90595,20.4838,41.27,0.744503,5,27.1869,87.3687,91.4288,75.6781,1.00771,0.996541,146.363,24.7617,0.60784,100,22.3932,269.945,60.476,0.932322,39.1816,50.5,261.449,10.7862,33,0.827701,3.86188,0.265373,3.96237,39,17,81.6,39,35.71849822998047,6.2,1.36668,1.10807,2.413,0.21,9.21,0,0
Serbia,SRB,71.49,85.51,73.4,55.56,95.43,93.57,82.89,70.15,93.19,74.53,59.35,66.53,79.39,58.36,42.7,41.79,5.9,16.378,6.6,8.389,12.6159,89.9819,93.5818,94.8322,0.15,99.6608,4.61107,34.2602,1.57,0.927534,4,10.373,98.4899,99.2062,96.6696,1.0144,2.57402,132.219,62.0751,0.41176,89.75,19.8504,496.351,63.659,2.59431,50.7316,60.49,628.845,7.0592,30,0.640793,3.61767,0.729036,4.5571,26.3,5,32.8,40,19.62030029296875,7.8,1.75039,2.67873,1.93468,0.54,13,2,40
Sao Tome and Principe,STP,59.78,65.76,59.89,53.69,79.54,57.69,52.31,73.51,80.02,35.79,51.68,72.07,88.81,57.47,56.95,11.55,14.2,116.44,36.8,26.671,198.339,78.8877,89.4904,38.803,63.7768,68.6,NA,138.88,3.44,0.955846,NA,16.0318,90.1431,91.3782,82.0282,1.10669,2.08964,67.1839,24.41,0.0196,44.7667,18.2742,428.868,52.476,2.06524,50.7649,26.32,375.073,17,34,0.889386,3.77937,0.819173,4.60681,35.5,NA,51.9,42,NA,4.5,2.53214,2.11559,2.51652,NA,6.35,0,0
Suriname,SUR,66.49,77.03,62.94,59.48,90.59,80.76,74.79,61.99,72.97,60.29,54.99,63.53,90.17,69.4,57.64,20.72,8.3,64.198,21.3,9.123,85.3518,94.6853,67.1139,79.2305,18.0684,88.3135,3.44606,22.2975,9.54,0.87823,NA,22.7967,92.8687,93.4828,78.5296,1.31708,2.08352,169.329,40.08,0.13725,80,19.276,472.734,52.506,2.67803,39.9526,7.53,418.219,7.22141,34,0.886829,3.82929,0.884716,4.58219,11.3,NA,71.4,36,36.142799377441406,5.8,2.41939,2.64731,2.88198,NA,10.14,0,0
Slovakia,SVK,79.83,93.32,81.35,64.83,96.38,98.63,95.13,83.14,90.43,85.7,66.02,83.25,92.29,76.84,54.23,35.97,3.7,8.571,6.2,7.494,26.2656,97.9289,98.4728,98.9221,0,100,6.1767,3.93283,1.44,0.924227,2,9.31371,NA,NA,90.9674,1.0107,2.39151,117.399,79.98,0.62745,96.8333,20.8071,447.012,66.777,3.21504,55.7642,89.95,279.061,17,36,0.93832,3.71761,0.867445,4.83337,12.1,1,74,51,29.14620018005371,6.5,2.3467,2.49151,2.96255,0.63,13.98,2,10
Slovenia,SVN,84.6,94.75,85.76,73.29,97.44,99.38,94.62,87.57,99.27,76.55,79.16,88.08,93.96,80.05,66.57,52.58,2.5,5.101,2.5,7.497,15.8595,99.5234,98.9666,99.1073,0,100,6.09591,4.55592,0.58,0.968103,2,6.86149,NA,99.2896,109.77,1.00287,3.90483,112.34,71.59,0.39215,90.7,23.5495,280.137,76.429,3.38666,24.4369,88.5,322.405,17,39,0.947209,3.38571,0.977515,4.79235,13,1,77.7,60,45.574100494384766,4.2,2.60562,2.79294,3.40474,0.79,14.19,2,60
